Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,ID,cluster_assign,state,country,locality,latitude,longitude,dewlap_group,plot_order
0,1,0,0,0,0,MTR34394,Cluster_2,BA,Brazil,Porto_Seguro_Estacao_Veracel,-16.3539,-39.1351,U,38
0,1,0,0,0,0,MTR34395,Cluster_2,BA,Brazil,Porto_Seguro_Estacao_Veracel,-16.3539,-39.1351,U,42
0,0.99,0,0.01,0,0,MTR34472,Cluster_2,BA,Brazil,Barrolandia_EE_Gregorio_Bondar_CEPLAN,-16.0942,-39.2157,Y,39
0,1,0,0,0,0,MTR34501,Cluster_2,BA,Brazil,Itapebi_Fazenda_Boa_Sorte,-15.89,-39.5308,U,34
0,0.92,0.06,0,0,0.02,MTR34595,Cluster_2,BA,Brazil,Santa_Maria_Eterna_Lagoa_do_Jacare,-15.936,-39.5266,U,33
0,1,0,0,0,0,MTR35000,Cluster_2,BA,Brazil,PE_serra_do_Conduru,-14.4967,-39.1336,U,28
0.73,0,0.08,0,0,0.19,MTR35696,Cluster_1,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,95
0.69,0,0.08,0,0,0.23,MTR35697,Cluster_1,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,94
0.66,0,0.18,0.02,0,0.15,MTR35698,Cluster_1,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,96
0.62,0,0.16,0,0,0.22,MTR35702,Cluster_1,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,93
0.63,0,0.09,0,0,0.28,MTR35709,Cluster_1,AM,Brazil,Alvaraes,-3.2103,-64.8053,G,92
1,0,0,0,0,0,MTR35861,Cluster_1,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,87
1,0,0,0,0,0,MTR35895,Cluster_1,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,85
1,0,0,0,0,0,MTR35939,Cluster_1,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,90
0.97,0,0,0,0,0.03,MTR35968,Cluster_1,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,84
1,0,0,0,0,0,MTR36074,Cluster_1,AM,Brazil,Rio_Ica_Comunidade_Cuiaua,-2.8836,-68.3677,U,89
1,0,0,0,0,0,MTR36086,Cluster_1,AM,Brazil,Rio_Ica_Acai,-2.9049,-68.3398,U,91
1,0,0,0,0,0,MTR36139,Cluster_1,AM,Brazil,Rio_Ica_Acai,-2.9049,-68.3398,U,86
1,0,0,0,0,0,MTR36275,Cluster_1,AM,Brazil,Rio_Ica_Comunidade_Cachoeirinha,-2.8842,-68.3499,P,88
1,0,0,0,0,0,MTR36477,Cluster_1,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,79
